irc.servercentral.net Tue Dec 26 23:43:09 2006
#hfs 3
#hfs-pro 1
#korea2008 2
#pp.user.main 1
#pp.user.spam 1
#lox 1
#QueensBridge 1
#MGZ-Talk_Shit 1
#hot97 1
#skygamers 1
#linuxnoob.no 1
#nintendo.no 2 Vil ha teit hvit boks.
#rms 1
#stigh 1
#hkrul3z 1
#hackpl 1
#hackingpl 2
#minihoggy 1
#nyaregeneration 1
#harm 1
#hdl 1
#troms√∏ 1 15:51 <@DeeOCee> haoa - Har f√•tt nok hos deg s√•eh..fakkaff :p
#demomusic 1
#demomusic-support 1
#seytan 2
#yatbdev 1
#NcG 1
#antipre 1
#hawktest 1
#asfdsafdasdf 1
#hionerds 1
#crips 1
#NiGHTMARE.PRE 1
#NiGHTMARE.SPAM 1
#NiGHTMARE.X 1
#R∞∞T 1
#before 1
#subversive 4
#joshc 1
#HarcerzHack 3
#without_name 1
#vulnerable 2
#checkserver 1
#boston-2621 3 Boston-2621 - totally fucking useless.
#poweridler 1
#hqa-rpg 1
#fss 1
#fatamorgana 1
#kroon 2
#consolewars 1 ready, set, battle!
#planetCalad 1
#indian-delights 1
#hq-dvd-covers 1
#caramba 3
#maura 1
#str¯mmen 1
#fjellhamar 2
#loonybin 2
#Hardrock 2
#dood 1
#ftpmp3 2
#ivaporspace 2
#XPPro 2
#turkish 1
#wepschool 1
#stelch 1
#∫ 1
#gvu 2 sold for 1 $
#hhh-vip 1
#linni 1 Ingen var her... 23:49 - 19. desember 2006!
#pula 1
#xq3 1
#xyonz 1
#badgertest 1
#AF1 1
#TheOpening 1 http://www.theopening.net
#figureskating 2
#middlearth 2
#foodhacking 1
#kovaya 3
#GaySanFrancisco 2 CHANNEL IS INACTIVE --  PLEASE JOIN #GAYSF
#ekne-cs 3
#samirah 1
#myz 1
#silverhawk-staff 1
#air-bryant 1
#pontypridd 1
#expressvu-aide 1
#politgruppen 2
#highvoltage 2
#otherland 1
#bugg 1
#blueferretsex 2
#pftp-dev 1
#roswell 1
#zonee 1
#microdisko 1
#pizza-hut 1
#nordicgarrison 1
#repti.net 1
#aatrivia 1
#fucksour 1
#lolomg 1
#planetGamont 1
#\dev\eth0 1
#506 1
#whitedragon 1
#epitomeofdarkness 1
#abdi 3
#dont_kick_me_im_not_a_bot 1
#EisenFaust 1
#ManKind 2 #ManKind - the human race; human beings collectively without reference to sex; humankind. 
#Teencool 2
#zeio 1
#meowmix 1
#CLUBSI.COM 1
#adnoiseam 1
#bitguard 1
#taunus 1
#waterfront 1
#nicole 1
#space-planet 1
#Rotter-Board 1
#IRClegends 1
#enracer 2
#alt.binaries.mp3 1
#mirc_rainbow 1
#360-bins 1
#akko 1
#beemsterkaas-spam 2
#tradersdungeon 1
#Shark-Pre 1
#lavmoral 1
#depression_UK 1
#WCW/nWo 3
#minix3 1
#chucknorris 1
#warez007 1
#cky 2
#hkf 1
#brap 1
#venture 1
#JJMAN.org 1 www.JJMAN.org Clock's Mod's Volt's!
#rem 1
#kumla 1
#relived 1
#xbox-360 1
#easytimes 2
#kites 1
#RavenCore 3
#Chosmobic 1
#couriers 1
#acne_torrents 1
#gob 1
#BuffyBB 1
#lfsnal 1
#asshatter 1
#noc-pre 1
#mystara 4
#miamichat 5
#m.pvt 1
#emubritain 1
#lappmyra 1
#snowvideos 1
#blinkenlights 3
#kode 1
#oktv 1
#sweclockers.com 1
#coolastekanalen 2
#teh.fb 1
#teh.fb-blizz 1
#pr0xy 1
#gbgays 1
#ibm 1
#tfeburg 2
#aurskog2 1
#fakse 5
#assassin 1
#ircrpg 1
#needlunch 1
#FTS 2
#!dSR 3
#sidetalkers 1
#mouah 1
#blankandjones 3
#armidalelan 1
#spg 3
#efnet-cert 2
#tcm-opers 2
#IIX 2
#WPP 1
#alt.binaries.hdtv 1
#dm06 1
#assembly 1
#sro 3 LEVEL 54! WOO HOO!! - Kiko 42 and Trippy  lvl 43!! :D - I got a bloody Riendeer ^_^
#indiaKaHost 3 For CHEAPEST VPS/WEB/DEDICATED Servers visit www.indiakahost.com
#wow-server 1
#mtgo 1
#ndc_compat 1
#mtus 1
#breakroom 1
#jyejjea 1
#wporzo 1
#1125 1
#vodkalovers 1
#xtele2 1
#thehitchhikersguidetothegalaxy 1 the mostly armless channel --- dont panic... --- ) http://neo.jpl.nasa.gov/news/news149.html
#dhe 3
#solidservices 1
#hurricanenews 3
#acadieshell 1
#mediagate 1
#acadieshells 2
#digitv 1
#beatabit 1
#tohands 1
#Fallen.Hero 1
#ChaosTH 1
#jall@ 1
#testbots 1
#radioseven 2
#ociusservers 1
#Global.Gaming 1
#BrutalCS 1
#ø° 1
#pki 1
#netgiro 2
#loserkid 3
#iGaTe 2
#zalo 1
#doizece 1
#sacele 1
#ÁÒÈ„È 1 1
#leedz 1
#wsm 1
#unixmafia.us 1
#kjbs- 1
#cn 1
#theforsaken 1
#oosu 1
#Spike-D 2
#asi 2
#instinct-team 1
#stokkefotball 1
#poseidon 1
#weatherman 1 merry christmas me 
#animeondvd 1
#snes9x 1
#mmdn 4
#JJKT 4
#srby 5
#smrg 4
#mksr 3
#mmnd 3
#mmx 3
#inamo-test 1
#digiLAB 1
#spower 1
#norhack.net 3 norhack.net - Oppgulp fra undergrunnen
#wetware 1
#poker-de 3 PLAY POKER , BE HAPPY :)
#IIG 2
#ikt-lÊrlinger 1
#biz 2
#happybudz 1 merry fucking xmas
#mo 2
#nbhelp 1
#lunch 1 vote Pedro
#djflopa 1
#intheclub 1
#bottos 2
#lÂrd 2
#neverstandstill 1
#anywherebot 1 Anywherebot 0.1 Alpha :)
#skam 1
#DELL 2 Since there is no official DELL channel on IRC, feel free to ask your questions, just wait and you will be answered eventualy :D
#internets 1
#reveal 1
#fkm 1
#soet 1
#vcd.no 1
#svcd.no 1
#0day.no 1
#tvseries 1
#tribe 4
#kviz+ 1
#freetekno.cz 3
#I-AM-GAY 1
#GayAnal 1
#Ass-Lovers 1
#MenLove 1
#animeguardians 1
#baraben 1
#ifkgˆteborg 1
#sonyericsson 13 4Get your Sony Ericsson Stuff at #Aivanet
#s60 14 4Get your s60 Stuff at #Aivanet
#millahdee 1
#enlighted 1
#finalrender 1
#Uboot 1
#M-M 1
#DuFF 2
#so.you.think.you.can.join.this.channel 2 Fucktard?
#dudlanje 2
#abcip 1
#toonshill.it 2
#irc-army 1
#1234 1
#·‡¯-˘·Ú 1
#joinhere 1
#omglolwtfbbq 1
#5678 1
#adminnitro 1
#quadratic 1
#npcvote 1
#hex 2
#cometl 1
#subs 1
#Quetta 1
#sind 1
#Balochistan 1
#lawhore 1
#sugarglider 1
#shellnos 1
#rubbbbbereva 1
#Shasta 1
#Raine 1
#bulletmain 2
#V.I.P 2
#noddy 2
#Grief 1
#WarezWorld 1
#ChatCenter 1
#TCE 1
#warpedshells.com 1
#FoE 1
#TuSSiS 1
#chatalot 1
#pgtops 1
#MARiNCHEN 1
#riski 1
#sonikhosting 1
#isos4u 1
#WarpedShells 1
#AnimÈ 1
#Medieval 1
#Maths 1
#Mathematica 1
#Maple 1
#womdupecheck 1
#outer_heaven 2
#azreal 3
#blackflower 1
#prolexic 1
#packetstormsecurity 1
#layeredtech 1
#calpop 1
#limelightnetworks 1
#syshackers 1
#cogent 1
#VUK 1
#lafaccenda.com 1
#BBDR.NET 1
#vizrt 1
#wwecw 1
#blubberkut 1
#crach 2
#loginmods 1
#sorny 1
#dumdidum 1
#hub.dk 1
#m0rwork 2
#no_war 1
#a2theJ 1
#brighteyes 1
#siccmade 1
#icetea^ 2
#mlp 1
#rengeri 3
#Bordell 2
#snoopp2 1
#fossen 1 hei :)
#Ó˘‰ 2
#millenium 1
#padnet 1
#Trace 1
#JIN^KAZAMA 1
#console-junkies 1
#hawks 1
#ninjaz 1
#h3lltest 3
#vacn_mj¯sa 2
#starhellinga 3
#deep_house 1
#jehovah 2
#gfnm 1
#fred 1
#telephony 1
#narqs-r-us 2
#carpet 1
#boomtown 2
#trysil 2
#komu 2
#celibate 2 <esouth> she can be maherarar's whore and suck his dong all nite
#geomatrix 1
#drama! 3
#dvd-r.se 1
#sxoc 1
#uocuk 1
#free.money.and.beer 12
#tcm 1
#1worldmirc 2 4,9 TRIVIA IS ON!!! 11,12 NO, WE DONT HAVE XMAS TRIVIA!! BUT HAPPY CHRISTMAS TO ALL XX
#princesse 1
#Xvid 3
#VOTEAGAINSTHILLARY 1
#shad0w 1
#xvssf 5
#extreamftp 5
#amia 1
#parkour2 1
#vcforfree 1
#townhallrelay 4 Tekki Wikki Town Hall For The Win
#psp-hackz 1
#calitec 1
#xbox360-hackz 1
#m1live 1
#winworld 2 +OK 2rZ5u/Bmz820AdXzm/fRLsW/5umKK17/T5M0lizvm.GkuTR/lGQ930bLTXa0zuB7F1HXasy0O1Bvm/aE6Qn0nX5zh.qC0As/8qHb8/l6eZe.3Uv8N1mw
#gayteen 1
#detached-design 1
#tight 1
#bluegate 1
#moa 5 Join #seti.se for the answer to everything but food,drink and oxygen
#sh4 1
#psikon 1
#gd 1
#chesso 1
#no-life 1
#irc.nb18plus.com 6
#af'#testeur 1
#suck.my.big.fatty.bitch 1
#unreal2007 1
#TripKore 1
#pvz 1
#learnitall 1
#strangerhood 1
#shellkingdom 1
#cablewarez2002 1
#lesanctuaire 2
#nus 1
#nunavut 1 to birds, seal, horse and cat
#ok 1
#epunk-zine 1
#webmasterz 1
#mi 1
#netx 1
#trade-zone 1
#isopimp-fserv 1
#onlygayslikeyoudowhoisonme 1
#valtorp 1
#Svearike 2
#anigt 4
#influence 2
#thebklounge 1 S N E A K   K I N G.
#ranting 1
#tqlsupply 1 -!!SUPPLY-CHANNEL ; Date.Movie.Unzensiert.German.DVDRip.XviD-EMPiRE!!-
#DonBaxter 7
#tiantian 1
#dreambox-rippers 1
#endo 1
#CRoW 1
#dont.fucking.whois.me.bitch 1 rushdi owns the world
#gamecube-sverige 1
#RealCrew 1 12/Server IrC.ReaLCrew.Net  ..!
#senate 3
#ircgoons 2
#vicks 2
#java.se 2
#Âland 2
#vasslia 2
#pupp 2
#chronos-gaming 1
#sˆderhamn 2
#hercegovina 2
#bosanci 2
#Sandzak 2
#svea 2
#thesummit 1
#GoudMerde 1
#lonely 1
#hrthr 1
#dolhpins 1
#keef 3
#t3rr0r 3
#svene 3
#qpdb 3
#DarkThrone 3
#chillout_Cafe 4
#mailman 3
#NuWorldOrder 3
#e=mc^2 3
#knox 1
#knox-flood 1
#puteenza 1
#neoins 2
#aoeuidhtns- 2
#s4 1
#Philosophy3 1 Death to #philosophy2. Long live #Philosophy3!
#downwithrussia 1
#ilhq 1
#hoosiers 1
#x-tunnel 1
#joesarmy 3
#themodillerhateclub 2
#[brb-ops] 1
#† 1
#stonedradio 1
#Hackers 1
#tvs 1
#Kanal-for-Foff-o-Pal 2
#oslolan 1
#Pal 1
#hose 1
#PrairieFelineFanciers 1
#grrrl 3 Merry Christmas!
#spilk 1
#mysgos 1
#plutoisadinosaurplanet 1
#[41] 2
#zombiez-town 3
#zerofamily 1
#Bark 2
#team-trymbo 2 hahah
#Ll0yd 1
#hithere 1
#pro-idlers 1
#whoa4lif3 2
#LBVIDZ2 1
#|GANGI| 1
#dvdlite 1
#tamac 1
#xpac 1
#xpf 1
#illegalhelp 2
#lowkey 3
#709 1
#evil.net 2 http://imgnew.thalys.com/ecard-noel-2006/en/ecard.swf
#kisses 7
#cdma 2 8,1.:::4,1F8,1R4,1E8,1N 4,1G8,1R4,1A8,1T4,1I8,1S 4,1L8,1A4,1G8,1I8,1:::.  6 Kini Penantian Panjang T'lah Berakhir
#wii-scene 1
#psx-scene 1
#wiinewz 1
#wii-newz 1
#forssa 1
#superritarit 1
#nvs 2
#muffs 1
#sequenz 2
#avidi 1
#operasjondagsverk 1
#sommerlyst 1
#minibaari 1
#starline.css 1
#!xpc 2
#XENCOR 1
#Hacker-for-Hire 1
#Brent 2
#only.punk.ass.bitches.whois.me 2
#racism 2
#shut.the.fuck.up 2
#trdix 1
#switch 4 www.switchlan.net
#member 1
#falun 1
#upc_sk 1
#addicts! 2 merry xmas and a happy new year!
#spitshit 1
#clubdestiny 1
#hitos 1
#Tilburg 1
#LiL`MoOT 7
#trackmania:united 1
#cartoonvcd 1
#classic 1
#retroclassic 1
#diehonkeydie 1
#spaceghost 1
#anime&videogames 2
#wallstreet 2
#HELLFiRE 1
#fastolfe 1
#grafik.moderator 1
#gf2 1
#idiot.se 1
#DALnet-Cafe 1
#1stP 1
#mercadia-quiz 1
#ostemorderkniv 2
#german-fun-channel 2 04Happy Halloween! | CMP V3.97a | 12http://www.koreus.com/media/urban-sprinting.html | MAME V0.111 | Wii! :)
#seattlchat 1
#lazerdorks 2
#temperature 1
#outlawzzz 1
#pornolation 1
#plnation 1
#Zap2ItTimer 1
#mindflyers 1
#hotgirls 1
#xnacid 3
#.zion 1
#triathlon 1
#soundofvictory 7 DanJen totally peewooning. Pal also pwning... but not as much cause he rarely drafts ;P
#adr-uk.staff 4
#OaO 1 dwwz zie: http://users.telenet.be/haeck/dwwz.pdf
#latskap.net 1
#orthodoxy 1
#orthodox 1
#parrots 1
#apologia 1
#b.a.d 1
#Previte 1
#b.a.d.0day 1
#acekard 2
#goldenfinger 1
#amielite-bbs 1
#kw8 6
#HarD-RocK 6
#away 6
#|<uwait 6
#lovely 6
#catalonia 1
#venetian 6
#coquette 6
#wtfrgames 3
#dai 1
#asp.no 1
#OZM-XDCC 1
#bot-e 1
#supot 1
#cochise 1
#jtoolz 1
#VGSForum 3
#nyana-pwnz 1
#nijntje 1
#hubris 3
#MTC 1
#liontimer 2
#friendsunited2k5 1
#cmc 1
#tqp 3
#5º-floppy 1
#infinity-lan 1
#SynCr0 1
#bruenhild 1
#gay.us 1
#gotland 1
#Progg 1
#Winweb 1
#Supras 1
#snotbubble 1
#Anus 1
#¬≤ 1
#servercore 1
#Entheogens 2
#stormzone 4 DoWn Maybe DeAd!
#DynDNS 2
#geeknews 1
#g3A7YJ 1
#hArA9J 1
#uYKh5885 1
#z72Ek42 1
#shenmue 3
#ufragged.priv 1
#torrenty.org 1
#trancescape 4 *God Jul*
#smartcard 1
# 11
#westney 1
#kolsva 3
#mytorrentspace 1
#yttp 1
#romerikebb 2 www.romerikebb.no | support, hjelp, kaffe, tr¯st.
#mkhost 3 www.mkhost.org
#Cohoes 1
#esir 1
#un.dissy 1
#jPs 3
#Jeremiah 3
#NotHere0 2
#highlander-central 3
#epguide 3
#karaoke 2
#brunei_house 1
#mtl 3
#gamehousing 3
#shellmania 3
#marihuana 2
#steroids 13 #bodybuilding :: #gym :: #fitness :: www.gym.com
#dvds 4
#avr 2
#co-location 3
#nouvelles 3
#dvdr.rm 2
#ezporn 6 http://tinypic.com/11b2rk1_th | <JTik> i got laid - So did I ;)
#§ 17
#jdigital 17
#hl2 23 [ #omg #teamfortress2 #CoD3 #GoW #mgs4 ] [ Steam Crackers Wanted! ]
#host-it.no-admin 3
#cometz 1
#&hearts 1
#tammy-eats-poop 1
#bad-chatters 1
#newbietown 8 12 Welcome To #Newbietown 4A friendly place where old newbies help new newbies :-)
#lmao 9 #lmao:11.01.06 -/- always remember: http://www.knitemare.org/cats/ceiling.jpg | #gunclub
#spbk 2
#pcbboard 5
#fitness 10 #fitness :: #gym :: Forum online: http://www.gym.com/forum/ :: Store coming soon!
#gym 17 #fitness :: #gym :: #bodybuilding :: #weightlifting :: www.gym.com :: !news Gym.com :: Merry Christmas Everyone
#FTP 2
#mijncolocation 3
#ircnews 3
#partey 1
#lampshade 6 http://i56.photobucket.com/albums/g197/Semi-Cool/34b4e892144a448601b70d870017890bdr0.gif
#liquidshells.net 17
#indica 4
#ggs.pre 3
#united.no 12 Manchester United - Wigan 3-1 (Ronaldo x2/SolskjÊr)
#irc-news 3
#rimasec 3
#undiscovered 4 i got my hata blockas on!
#sector7 2
#nintendonow 4 Dreamhost EXPIRES 1/7 | For Dave: fond!!!
#Baptists 4 Psalm 23
#cell 17
#unitywars 17
#xenu 3 Have you hugged your theatan today?
#rangel 3
#security-focus 4
#nullrouted 4
#fÊst 5
#mycolocation 3
#nettuninggroup 4
#irc_terrorist 8 irC +4rrORS1T2! || +arRrOizN19 1rC 5INc3 ThU m@Y 18 00:09:17 2006 || b.oooom.net/6tp 
#kaktos 9 4˘¯˙ ‰ÓÈ¯˜ ‰Ù¯ËÈ ˘Ï ˜˜ËÂÒ ÁÊ¯. ‡˙Ì ÓÂÊÓÈÌ ÏÁÊÂ¯ ‡ÏÈÂ Ú"È ‰Ù˜Â„‰: "0/server -m irc.kaktos.co.il 6667 -j #kaktos4" - 
#comp-il 10 >:D<
#ssnakes 2 SMALL SNAKES ARE STILL VERY DANGEROUS 
#TDTC 4
#rosenhoff 3
#1.61803398874989 3
#gayAtlanta 2
#absinth 2
#air 2
#BandWidth 19 www.liquidshells.net - STABLE UNIX SHELLS
#ninjas 17 yeah, no argument there.
#mirchat 13
#speedtech 14 :: speedtech.no - Syke priser pÂ dedikert! Nesten ikke til Â tro! http://speedtech.no/index.php?section=products&id=24
#WZL 5 http://break.com/index/weird_al_interviews_kfed.html || RIP James Brown
#sfc 17
#duckfuckers 2
#rnsfiles 2
#warez-free 11 warezfree rocks  doh
#openwrt 9 EFNet OpenWrt help :: http://forum.openwrt.org/viewtopic.php?id=3474 <- common mistakes
#illmatic 1
#kayam 2
#phpfr 8 Bonne AnnÈe 2006 | The best CMS of Da World : http://www.ez.no !!
#angels 2
#NB17+ 5
#AMP 17
#bf2142 3
#theangrydome 5 we've ..fixed the glitch
#butts 2
#hoes 7
#662 4
#TeenZone 5
#musik 5
#vent 9 Change topic !topic <text> | <irongron> http://www.ratemypoo.com/
#ds-clan 6
#celebrity-zone 2
#ZoD 5
#forus 4 identifiser dÂkk EmBe, JayMee og r0se
#neutek 4 Bye bye Neutek -- Fun while it lasted, fucked by silx and opt1x -- Have fun you 2 ladies & remember the lube
#Winsock 2
#-.botnet 3
#owens 3
#og 3
#mka 4
#ea-test 1
#issy 1
#hostly.nl 10 7[1Hostly.nl7] 1www.hostly.nl 7[1Hostly.nl7] 1Support at irc.hostly.nl - #support 7[1Hostly.nl7] 1DON'T ASK FOR SPONSOR, WE DON'T 
#ProBotService.nl 4 Real soon: bot services in this chan
#FASTMP3 1
#nubsauce 1
#shellq 11
#amigapower 1
#infidel 1
#hostr-webhosting 1
#Eggdr0p 1
#sekrit 2
#sativa 2
#moron 2
#drugz 2
#nl 2
#potent 2
#shroom 2
#ttr 1
#HT.7 1
#sms2003 3
#Belle 1
#Cranberries 1
#rFactor 1
#swganh 1
#q2ztest 1
#DCCZ 2
#shady 1
#psychologicalrecords.com 2
#myelbow 2
#!frh 1
#shaw-soc 6
#reptile4 1
#randombullshit 1
#shawnoc 1
#arcticgaming 1
#arctinetwork 1
#rekka_no_honou 1
#meintheass 1
#LsC 1
#deathwing 1
#vn 1
#pinnaclefanboard 1
#htmf 1
#hackingthemainframe 1
#musicshare 1
#alt.binaries.sounds.mp3.video-games 1
#losslesshub 1
#pensacola 1
#ramtruck 2
#LUIS-XDCC 1
#kamloops 1
#sbase 1
#idtsupport 1
#xun 1 .
#[SR] 1
#DISTRIBUTED.NET 1
#technosexual 1
#opi-rockz 1
#anonieme.alcoholisten 1 3BIERTJE ?!
#jmx 1
#hamber 3
#hamberbig2 3
#hambertrivia 1
#nux 1
#NoAhBoDy 1
#NoAhSaRk 1
#dssfiles 1
#Winnipeg-People 4 only winners stay home christmas eve
#salt 1
#freebeer 3
#thearchive 2
#manccrew 2
#asians_are_food_lol 1 korean man on the BBQ -- yay!
#xn8a8y1n 1
#AK3zatu 1
#AKE 1
#sherlock 1 what street do i live on
#oil 1 hair
#hadm 1 with rapey you can come back in 20 years and say "i did that"
#mongolia 1 U.S.S.R.
#chuck 1 nothing
#mtgbattle 1
#lordvader129 3 We are the mustaches the Beatles grew when they dropped acid
#hgb 1 need mooooore sleeeep
#shadowrun 2
#peruanos 2
#universehosting 25 1,1.9,1ª Welcome in #UniverseHosting ´ UniverseHosting, independent shell and game hosting! ª www.universehosting.com | 4!uptime
#norma 1
#pragma 2
#undef 2
#endif 2
#yorku 2 #UofT is where the party's at
#utsc 2 #UofT is where the party's at
#utm 2 #UofT is where the party's at
#bjenke 1
#954 1 Broward 
#rackdragon 1
#TNN-RSS 2
#YoungerTeens 1
#!nuke 1
#TEXDORK 1
#efnet.port80.se 5
#love_batrisya 7 11,1WeLcOmE To 13LoVe_BaTrisya..9Im oWeZ BsiDe YoU..
#private_game 3 0,0%11,0%0,11%11,11%10,12%12,12%2,12%12,2%2,2%1,2%2,1%1,1% 13,1WelCome To Private_Game<<>>Enjoy & Have Fun Here2,1%1,2%2,2%12,2%2,12%12,12%
#BruTaLz_Team 5 4,1WeLcOmE mY TeAmS!!!Go>>>BRUTALZ!!!
#muara 3
#rimba 3
#calneva 5
#[?] 1
#cripples_masturbating_in_wheelchairs 3 Idling gets you voice.  and a wheelchair  http://www.pornotube.com/media.php?m=486
#anti-nina 1
#burnwarfare 1
#gibier 22 fight chan!
#fiend 6
#ujang 9 WWW.Welcome.N.Selamat.Menyambut.Hari.Raya.Haji.Yg.Akn.Menjelang.Tiba..Jom.Berayaaa.Hahahaha..
#ronjeremy 2
#LinuxPlace 2
#ganddal 3
#coasters 2 hhmmm hmm
#shakiraholics 2
#porsgrunn 2  
#vtdn 2
#covers.dyndns.ws 2
#-_- 4 race gas + 30 psi = boom?
#tshp 1
#madtest 2
#sandnes.vgs 3
#wasted 9
#Vanity.Channel.For.Sale 9
#ctaz 4 mizz..U..Cyg..Wb..Hahahahahahaha..<3..<3..<3..MWAHZzZ..
#nv 1
#nothingvideos 2
#testemp 1
#bam 3
#anitv 3
#numbertheory 1
#as_oilrig 2
#tightvnc 1
#struktfrenzy 2 [00:19] <ASTRX> kebab
#olderskog 2
#magelang 1 2,2 wONG eDAN :p
#sedes 1
#karangturi 1
#mesum 1
#iklan 1
#uksw 1
#heartbreaker 1
#sala3 1
#salatiga 1 11 Salatiga Adem Ayem
#1love 3
#testone 1
#livecd 2 Welcome to the LiveCD channel
#mskdev 21
#Kentucky 1 Merry Christmas and many blessings for the New Year from what ever God you believe in.
#selatpanjang 3 9,1Heng: buat la chan topic n mana bots2 lho?
#dumai 3 9,1Heng: buat la chan topic n mana bots2 lho?
#cxvj 2 9,1Heng: buat la chan topic n mana bots2 lho?
#aljazeera 1
#ja 5 Dieser Channel existiert nicht!!!
#WHOIS.ME.AGAIN.I.LIKE.IT.BITCH 2
#2600pdx 1 2600 Portland, OR is located in #pdx2600.  Please adjust auto-joining client settings
#alivepoetrysociety 1
#world-cup 1
#DuReX 1
#ru_313 3
#nepizdet 4
#duckies.fan.club 4 Merry Christmas Special duckies gangbang #4
#chanfix†#heimat 1
#tvrippingnerds 1
#irc-addicted 2
#the-zone 1
#Dreki_greni 2
#Multan 1
#plus4 2
#dick 1
#$B5H@nM'(B 1 ÿ•$B!2(B£•`)$B!c5H@nM'$G$9(B 
#mlsecret 3
#abe_mecca_ 3 http://forums.xbox-scene.com/index.php?showtopic=513412 <-- all the stuff you will need
#jsem-warezacky-prase 1
#nikdy-jsem-neodpovedel-a-delal-ze-tu-nejsem 1
#ja-neumim-mluvit 1
#tak-dlouho-jsem-sral-heimata-az-jsem-ho-dosral 1
#Farcry 2 www.swenetwork.se
#loze-nabor 2
#crew3G 5
#phatchicks 5
#fiorela 1
#bigblue 1
#madeira 1
#fortran 2
#ds04ofhv 2
#xboxcheats 2
#plk-pre 1
#ReportAbuse 2
#nfs 1
#dotnot 1
#Haut-sheila 15 .nowel...
#rock-albumz 1
#niggaz 5 DISCUSS NIGGA CULTURE AND HERITAGE | KEEP IT REAL TRIFORCE
#ctrlaltrpg 1 #ctrlaltrpg
#holytest 2 "Christmas" is NOT a dirty word.
#mobile 1
#siggawagt 2 Let all the poisons that lurk in the mud hatch out
#l&t 1 Hope u had a good Xmas :))
#mircscript 2
#Crack-R-Us 1
#shell.se 1
#bekasi 4 more to come
#mp9 1
#Warez-Ohi0 1
#Warez-Ohio 1
#Thingarr 2
#douche 1
#WcW 5
#Geil 1
#geil.dk 1
#Ace-bots 1
#kvz-r 1
#birmingham 3
#tintin 1
#warrock 2
#nblive 26
#daleks 2
#sysdmins 1
#ninjamonkey 1
#mx 3
#i_love_ponies 5 YAY PONIES
#jijlk 1
#bushsucks 2
#anag 1
#freetv 2
#castlevania 1 (12/25/06) Happy 'Christmas Day' !
#phreaker 1
#apt103 3
#elitist 3
#animal_farm 3
#l0re 2
#heysuburbia 5
#gorj 1
#I.LoVe.You.My.AnGeL 1
#bnc_shop 1
#tupacfan 1
#spacetourism 3
#SUKImagination 1 SUKImagination (tm) -- innovation of RELIGION (tm)
#wiibootloader 1 www.console-central.com has it, sign up and inquire about it on the forums... Dedicated members will get it, whatever IT is
#flooding 1
#troms¯lan 5 http://www.tromsolan.no/
#ahoskie2varap 2
#RFD 54 Welcome to RFD (Red Flag Deals) Version 2 :: type ' -news RedFlagDeals ' for newest deals!
#10_hackfish 1
#asdasdas 1
#fitereclama 1
#Minodora 2
#Haiduc 2
#luffy 1
#paidkillers 82
#dtr 1
#tcl-testing 5 ORLY
#ieee 3 http://del.icio.us/wwwtractor/ieee/
#anticulture 1
#cracwhore 1
#industrialnation 1
#xploited 2
#wiesbaden 2
#thieves-hq 2
#hardcore 2
#freakout 1
#hatmaschine 2
#tradefun 1
#aip 2
#irc_gossip 2 this is mad gossip action in hur
#pspemu 1
#inform 1
#gp32_dev 1
#aximx50v 1
#zot-maker 1
#supersupersekrutfriday 1
#anotherfriday 1
#kademlia 1
#C4 1
#BNCLAND 3 4Psybnc from 12WwW.Botseller.net.ms 10Haiduc@chello.at
#liquidwax 1
#haf-staff 4
#sugarland 4
#fido 4
#Vic-Sport-Com 2
#spiceworld 2
#melaniec 2
#NETXDCC 2
#sly 15 are you sly enough? :P - where your dreams come true
#kamlug 1
#tg.quiz 2
#mms 2
#telio 2
#headlines 2
#hemulen 2
#jauda 2
#nvtesp3 1 God jul, nu n‰r de ‰r jul Â allt
#warez_ftp 1 Channel closed, join us at irc.absurd-irc.net #warez_ftp
#hg420 2
#l¯kka 5 L¯kkas shotgun Kalender - luke nr 3: eivind har jakka si hos heppe, ikke glem. pluss vads¯ = dramaby 2k
#g-strings-r.us 7 http://www.g-strings-r.us For All your free porn needs NOT!!!
#jz 2
#it-chancen 8
#2011 1 i'm ready for the future, fuckers.
#dont_whois_me_wanker 1
#SGN 2
#hckddmp 1
#h¯land 2
#RnR 1
#hack4jesus 2
#linuxbabes 2
#j0lt 2
#techworm 2
#trad-witches 2
#athlo 2
#minniesoffice 1
#911lies 1
#alphacentauri 1
#BlaxkXP 6
#macedonia+ 1
#croatia-quiz 3
#resen 2
#YJet 8 /s irc.yjet.org
#bold 3 Worst Christmas EVER!
#plamola 2 MDK's test channel
#level3 1
#gaybuffalo 4
#bananatask 2 Task me to task you.
#ReformParty 1
#dimension 1
#zdaemon 1
#Yaguchi-Mari 2
#disco 1
#scorpio 1
#testfield 4 #bapudi reports and testing - iteration 92069454
#bapudi2 4
#bapu 4
#edh 3
#nnaog 1
#jirehnetworks 3 Refer a FRIEND & get 1 mo. free (!Specials 4 more info) - Stable Shells, We offer fast & reliable services @ afforda
#jirehnet 3 Refer a FRIEND & get 1 mo. free (!Specials 4 more info) - Stable Shells, We offer fast & reliable services @ afforda
#niglets 3 10:53.20 ( @ridah\ ) i know im gay | place bets now on when you think parker will finally get his penis wet
#gk 2
#securep2p 3
#advice-help 3
#unixprog 3
#tfr 3
#icehell 2
#irc.penispump.net 21
#pith 1
#garbagepailkids 3
#thelostroom 1
#mirc32.exe 1
#phranque 2 bot trivia, rainman edition
#hallie 3
